"Country","M","F"
"Afghanistan",57.17,59.61
"Africa",54.4276794136491,56.6097572328342
"Albania",73.42,79.72
"Algeria",68.75,71.83
"Angola",48.21,51.04
"Antigua and Barbuda",72.56,77.36
"Argentina",71.56,79.06
"Armenia",70.58,77.3
"Aruba",72.28,77.09
"Asia",68.360812093015,72.1861171414247
"Australia",79.42,83.94
"Australia/New Zealand",79.2078350049248,83.656755364605
"Austria",77.23,82.72
"Azerbaijan",67.09,73.14
"Bahamas",71.19,77.27
"Bahrain",75.18,76.67
"Bangladesh",67.81,69.13
"Barbados",72.07,76.81
"Belarus",63.56,75.19
"Belgium",76.71,82.22
"Belize",69.92,75.6
"Benin",56.81,59.55
"Bhutan",65.47,65.97
"Bolivia (Plurinational State of)",63.43,67.7
"Bosnia and Herzegovina",72.88,78.08
"Botswana",46.55,46.24
"Brazil",68.85,76.1
"Brunei Darussalam",75.61,79.5
"Bulgaria",69.42,76.66
"Burkina Faso",53.32,54.48
"Burundi",49.85,52.82
"Côte d'Ivoire",47.99,49.53
"Cambodia",66.76,72.05
"Cameroon",51.8,53.66
"Canada",78.17,82.81
"Cape Verde",69.07,76.96
"Caribbean",68.4033415554091,73.6473830758289
"Central African Republic",44.79,48.11
"Central America",72.5013037649946,77.829532294178
"Chad",47.93,49.41
"Channel Islands",77.32,81.63
"Chile",75.49,81.53
"China",73.19,75.77
"China, Hong Kong SAR",79.36,85.43
"China, Macao SAR",76.82,81.6
"Colombia",69.23,76.62
"Comoros",58.33,61
"Congo",54.43,56.94
"Costa Rica",76.45,81.24
"Croatia",72.57,79.53
"Cuba",76.22,80.4
"Curaçao",72.65,79.38
"Cyprus",76.85,81.1
"Czech Republic",73.64,79.98
"Dem. People's Republic of Korea",64.8,71.75
"Democratic Republic of the Congo",46.63,49.94
"Denmark",76.31,80.78
"Djibouti",57.6,60.54
"Dominican Republic",69.18,75.45
"Eastern Africa",54.9281494974965,56.8538998363401
"Eastern Asia",73.8005461727887,77.2509330888608
"Eastern Europe",64.1465440830943,75.1296247969063
"Ecuador",72.12,78.02
"Egypt",67.62,72.27
"El Salvador",66.45,75.89
"Equatorial Guinea",48.84,51.5
"Eritrea",57.61,62.23
"Estonia",68.04,79.01
"Ethiopia",58.15,60.39
"Europe",71.3674185743996,79.3104716653919
"Fiji",66.09,71.9
"Finland",76.02,82.84
"France",77.35,84.28
"French Guiana",72.55,79.89
"French Polynesia",72.82,77.45
"Gabon",60.25,62.35
"Gambia",56.24,58.79
"Georgia",69.76,77.04
"Germany",77.07,82.34
"Ghana",59.17,60.88
"Greece",77.25,82.3
"Grenada",69.61,74.4
"Guadeloupe",75.7,82.86
"Guam",74.7,80.3
"Guatemala",66.73,73.77
"Guinea",53.78,55.15
"Guinea-Bissau",51.57,54.45
"Guyana",62.68,67.88
"Haiti",58.95,62.4
"Honduras",69.68,74.54
"Hungary",69.67,77.9
"Iceland",79.57,83.16
"India",63.33,66.69
"Indonesia",67.62,71.6
"Iran (Islamic Republic of)",70.51,74.18
"Iraq",65.09,72.24
"Ireland",77.23,81.9
"Israel",78.73,82.73
"Italy",78.71,84.06
"Jamaica",69.57,74.97
"Japan",79.18,86.02
"Jordan",71.52,74.63
"Kazakhstan",60.18,71.53
"Kenya",56.01,58.44
"Kiribati",64.32,69.92
"Kuwait",73.07,74.85
"Kyrgyzstan",62.67,71.06
"Lao People's Democratic Republic",64.47,67.01
"Latin America and the Caribbean",70.2084382468165,76.6678545056278
"Latvia",65.97,76.98
"Least developed countries",57.124607838319,59.3447476085673
"Lebanon",76.24,80.63
"Lesotho",45.27,45.76
"Less developed regions",65.0004454565926,68.5550446395001
"Less developed regions, excluding China",62.7519509540304,66.6946235248019
"Less developed regions, excluding least developed countries",66.8506750850119,70.6335073686126
"Liberia",57.24,58.98
"Libya",72.4,76.21
"Lithuania",65.21,77.59
"Luxembourg",76.73,82.17
"Madagascar",60.81,63.66
"Malawi",51.51,51.48
"Malaysia",71.83,76.42
"Maldives",74.55,76.66
"Mali",52.9,52.47
"Malta",76.34,81.19
"Martinique",76.7,83.21
"Mauritania",59.17,62.14
"Mauritius",69.39,76.25
"Mayotte",74.47,81.87
"Melanesia",61.0524156787111,65.3430415678158
"Mexico",73.74,78.61
"Micronesia",70.169957637312,74.739199063468
"Micronesia (Fed. States of)",67.56,69.11
"Middle Africa",48.123217955856,50.9092771220826
"Mongolia",62.37,70.28
"Montenegro",71.87,76.47
"More developed regions",73.437675586943,80.4393633989198
"Morocco",67.92,71.32
"Mozambique",47.2,49.45
"Myanmar",62.11,66.17
"Namibia",57.21,62.86
"Nepal",64.91,67.01
"Netherlands",78.01,82.2
"New Caledonia",72.4,78.32
"New Zealand",78.16,82.23
